districtData/0/district,blank,districtData/0/active,districtData/0/confirmed,districtData/0/deceased,districtData/0/recovered
Ahmadnagar,,17,42,2,23
Yavatmal,,69,79,0,10
Washim,,1,2,0,1
Solapur,,93,99,6,0
Sindhudurg,,1,2,0,1
Satara,,21,32,2,9
Sangli,,3,29,1,25
Ratnagiri,,2,8,1,5
Raigarh,,44,71,3,24
Parbhani,,1,2,0,1
Palghar,,119,169,4,46
Osmanabad,,0,3,0,3
Nashik,,179,197,12,6
Nandurbar,,10,11,1,0
Nanded,,3,3,0,0
Nagpur,,100,139,2,37
Latur,,3,12,1,8
Kolhapur,,10,14,0,4
Buldana,,3,21,1,17
Jalgaon,,30,40,9,1
Hingoli,,14,15,0,1
Gondiya,,0,1,0,1
Dhule,,22,25,3,0
Chandrapur,,0,2,0,2
Buldana,,3,21,1,17
Bid,,0,1,0,1
Bhandara,,1,1,0,0
Aurangabad,,102,131,7,22
Amravati,,17,28,7,4
Akola,,30,39,1,8
Ahmadnagar,,17,42,2,23
,,,,,
,,,,,
,,,,,
,,,,,
Mumbai,,5679,7061,290,1092
Thane,,755,943,16,172
Pune,,912,1248,88,248
